job_title,location,salary,sector
Restaurant Manager Job in Charlotte,"Bojanglesâ€™ is expanding and opening new locations across the Southeast!Â  Currently located in over 715 locations in 12 states throughout the Eastern U. S. with new locations coming to the middle Tennessee area! At Bojanglesâ€™ we are proud to be Growing Great Leaders........One Biscuit at a Time! Â We are Opening New Locations in the Charlotte Area soon and have opportunities for Experienced Restaurant Managers (Unit Directors, General Managers, Assistant Managers and Shift Managers).Â Why not become a part of one of the fastest growing companies within our industry?Â  We are constantly creating opportunities for great talented leaders to join our team as we continue our 39th year of excellence in the quick serve industry. Â If you are experienced in Restaurant Management and Leadership, then we invite you to apply with Bojanglesâ€™ today. Â Management responsibilities include:Â·Â Â Â Â Â Â Â Â  Controlling day-to-day operationsÂ·Â Â Â Â Â Â Â Â  Scheduling and Labor Cost managementÂ·Â Â Â Â Â Â Â Â  Inventory and Food Cost managementÂ·Â Â Â Â Â Â Â Â  Ensuring compliance with Bojanglesâ€™ standardsÂ·Â Â Â Â Â Â Â Â  Serving our Loyal Bojanglesâ€™ customersÂ At Bojanglesâ€™ we are looking for Experienced Leaders with Excellent Communication and Customer Enhancement skills that will help us continue being an Industry-Leading Brand.Â  Our professional management team will provide you with the necessary tools to lead, learn and grow through our on-going training and management programs.Â If a career with Bojanglesâ€™ sounds intriguing, then why not apply and learn more about our Unit Director, Assistant Unit Director and Shift Manager Positions?Â Some of our benefits include:oÂ Â  Competitive base salary oÂ Â  Exceptional monthly bonus plan â€“ one of the best plans in the industryoÂ Â  401K (company matching)oÂ Â  Industry leading comprehensive insurance program(s):Â§Â  Medical Â§Â  DentalÂ§Â  VisionÂ§Â  Life Insurance, Short and Long-term Disability Insurance (all company paid)oÂ Â  Great vacation planoÂ Â  Paid HolidaysoÂ Â  Outstanding training program (throughout career)oÂ Â  Scholarship program for Employees and/or family membersÂ Â Â EOE/Drug free workplace Â Â (General Manager, Store Manager, Assistant Manager, Shift Leader, Crew Leader, Team Leader Restaurant Job)","25,000.00 - 57,000.00 $ /year",Food Services/Hospitality
Merchandise Specialist Job in Minneapolis,"Minneapolis, MN 55403",17.00 - 17.00 $ /hour,Business/Strategic Management
Director,"Las Vegas, NV 89119","85,000.00 - 100,000.00 $ /year",Accounting/Finance/Insurance
Desktop Technician Job in Las Vegas,"Las Vegas, NV 89144",19.00 - 19.00 $ /hour,Experienced (Non-Manager)
Business Systems Analyst Job in Irvine,"Irvine, CA 92618",40.00 - 40.00 $ /hour,Experienced (Non-Manager)
Controller Job in Las Vegas,"Las Vegas, NV 89119","70,000.00 - 80,000.00 $ /year",Accounting/Finance/Insurance
Staff Accountant Job in Las Vegas,"Las Vegas, NV 89119","50,000.00 - 60,000.00 $ /year",Accounting/Finance/Insurance
Accounts Payable Specialist Job in San Diego,"San Diego, CA 92122",0.00 - 20.00 $ /hour,Accounting/Finance/Insurance
Accounts Payable Job in Boston,"Boston, MA 02111",16.00 - 23.00 $ /hour,Accounting/Finance/Insurance
Accounts Payable Specialist Job in Grand Rapids,"Grand Rapids, MI 49546",15.00 - 18.00 $ /hour,Accounting/Finance/Insurance
Shift Leader Job in Homestead,"Homestead, FL",10.00 - 11.00 $ /year,Food Services/Hospitality
Senior Internal Auditor / IT Audit Job in Boston,"Boston, MA","0.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
Senior Accountant Job in Grand Rapids,"Grand Rapids, MI 49546",20.00 - 26.00 $ /hour,Accounting/Finance/Insurance
Sheriff's Deputy/Corrections Officer - Male & Female Job in Abilene,"Abilene, TX 79603","$30,000.00+ /yearplus benefits",Entry Level
Upscale Unarmed Officer Job in Cherry Hill,"Cherry Hill, NJ",12.00 - 14.00 $ /hour,Experienced (Non-Manager)
Security Officer Job in Orlando,"Orlando, FL 32826",11.85 - 11.85 $ /hour,Security/Protective Services
Upscale Unarmed Security Officer Job in Newark,"Newark, DE",14.00 - 14.00 $ /hour,Experienced (Non-Manager)
Security Systems Coordinator Job in Berea,"Berea, KY 40404",Salary based on experience.,Experienced (Non-Manager)
Unarmed Security Officer- Northern California Job in Oakland,"Oakland, CA 94601",$10.87+ /hour,Entry Level
Security Guard Job in Boston,"Boston, MA 02108",$12.00+ /hour,Security/Protective Services
Property Custodian (Evidence Tech) at USMS Job in New York,"New York, NY 10007",30.93 - 30.93 $ /hour,Security/Protective Services
Security Officer Job in N Springfld,"N Springfld, VA 22151",15.00 - 17.00 $ /hour,Security/Protective Services
Bookkeeper/Office Manager Job in Dallas,"Dallas, TX","45,000.00+ /year",Accounting/Finance/Insurance
Security Officer Job in Columbia,"Columbia, MD 21045",20.00 - 23.00 $ /hour,Security/Protective Services
Security Officer - Recruitment Event June,"Saint Petersburg, FL 33701",0.00 - 12.25 $ /hourPlus benefits,Experienced (Non-Manager)
Part Time Deputy Judicial Marshal - Belfast Job in Belfast,Part Time Deputy Judicial Marshal - Belfast,13.45 - 13.45 $ /hour,Security/Protective Services
Financial Model Validation Job in Dallas,"Dallas, TX","100,000.00 - 130,000.00 /year",Accounting/Finance/Insurance
Accounts Payable Specialist Job in Dallas,"Dallas, TX","40,000.00 - 50,000.00 /year",Accounting/Finance/Insurance
Sr. .Net Developer Job in Dallas,"Dallas, TX",55.00 - 65.00 $ /hour,IT/Software Development
Outside Sales â€“ Account Executive - Wireless Telecommunications Job in Camden,"Camden, NJ","40,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
Security Officer Job in Parma,"Parma, OH 44134",11.00 - 11.00 $ /hourBenefits Package,Entry Level
Security Officer Job in Palm Bay,"Palm Bay, FL 32905",11.00 - 13.00 $ /hour,Security/Protective Services
Home Inspector-CNCO Job in Centennial,"Centennial, CO 80112","40,000.00 - 60,000.00 $ /year",Building Construction/Skilled Trades
Administrative Assistant Job in Dallas,"Dallas, TX",16.00 - 17.00 /hour,Administrative/Clerical
Front End Developer Job in Plano,"Plano, TX","70,000.00 - 85,000.00 /year",IT/Software Development
Director of Womenâ€™s and Childrenâ€™s â€“ RN â€“ Nurse â€“ $K+ Job in Dallas,"Dallas, TX","100,000.00 - 130,000.00 $ /year",Medical/Health
Security Officer Job in Port Canaveral,"Port Canaveral, FL 32920",13.00 - 13.00 $ /hour,Security/Protective Services
Customer Service Representative Job in Dallas,"Dallas, TX",12.00 - 15.00 $ /hour,Experienced (Non-Manager)
Surveillance Investigator Job in Minneapolis,"Minneapolis, MN",$16.40+ /hour,Security/Protective Services
Office Services Associate - District Associate Job in Dallas,"Dallas, TX",13.00 - 13.00 $ /hour,Administrative/Clerical
System Administrator Job in Dallas,"Dallas, TX","90,000.00 - 105,000.00 /year",IT/Software Development
Upscale Unarmed Security Officer Job in Newark,"Newark, DE",14.00 - 14.00 $ /hour,Experienced (Non-Manager)
Sr. .Net Developer Job in Dallas,"Dallas, TX",55.00 - 65.00 $ /hour,IT/Software Development
Inside Sales - Account Executive Job in Aurora,"Aurora, CO 80014","55,000.00 - 65,000.00 $ /yearBase + Uncapped Commissions + Benefits",Experienced (Non-Manager)
Corporate Systems PM Job in Dallas,"Dallas, TX","$120,000.00+ /year",IT/Software Development
Data Analyst (Intelligence Analyst) at USPIS Job in New York,"New York, NY 10007",26.92 - 26.92 $ /hour,Security/Protective Services
Unarmed Security Officer Job in Seattle,"Seattle, WA",15.00 - 21.90 $ /hour,Experienced (Non-Manager)
Assistant Project Manager Job in Dallas,"Dallas, TX","55,000.00 - 75,000.00 $ /year",Building Construction/Skilled Trades
Security Officer Job in Burlington,"Burlington, MA 01803",$13.50+ /hour,Security/Protective Services
Human Resources Manager Job in Dallas,"Dallas, TX","55,000.00 - 75,000.00 $ /year",Human Resources
Financial Service Specialist (Call Center) Job in Centennial,"Centennial, CO 80111",16.00 - 18.00 $ /hour,Customer Support/Client Care
Security Officer Job in Indianapolis,"Indianapolis, IN 46225",9.50 - 11.00 $ /hourBenefits + Annual Bonus,Entry Level
Project Manager Job in Dallas,"Dallas, TX","90,000.00 - 100,000.00 /year",IT/Software Development
Director of Human Resources Job in Aurora,"Aurora, CO 80014","80,000.00 - 90,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
Intelligence Analyst / Records Examiner Analyst at DEA Job in Cedar Rapids,"Cedar Rapids, IA 52404",19.50 - 19.50 $ /hour,Security/Protective Services
IT Telecom Admin Assistant Job in Arlington,"Arlington, TX 76011",14.00 - 15.00 $ /hour,Administrative/Clerical
SENIOR TELECOMMUNICATIONS TECHNICIAN Job in Miami,"Miami, FL 33173","54,058.00 - 79,174.00 $ /year",Experienced (Non-Manager)
Accounts Receivable - Reconciliations Specialist Job in Dallas,"Dallas, TX",17.00 - 19.00 /hour,Accounting/Finance/Insurance
Project Manager - Flooring,"Denver, CO 80238","35,000.00 - 55,000.00 $ /year",Building Construction/Skilled Trades
Entry Level Sales Representative Job in Dallas,"Dallas, TX",Competitive Base Salary + Commission,Entry Level
Business Analyst (UI/UX),"Dallas, TX",35.00 - 50.00 $ /hour,IT/Software Development
Route Delivery Driver - Class A CDL Job in Aurora,"Aurora, CO","$4,000 Sign-On Bonus",Experienced (Non-Manager)
$K-$K RESTAURANT MANAGER DALLAS! $K-$K KITCHEN MANAGER ARLINGTON! NEW STORES ACROSS DFW! Job in Dallas,"Dallas, TX","54,000.00 - 66,000.00 $ /yearHighly Competitive Base Salary Plus Lucrative Bonus Plan, Benefit Package, in a Highly Diverse, Very Successful Company! Performance Based Upward Mobility Assured.â€‹ Do Not Hesitate, Apply Today.â€‹ Grow with this Nationally Present, Dynamic Restaurant Group",Manager (Manager/Supervisor of Staff)
Customer Service Representative Job in Dallas,"Dallas, TX",13.00 - 15.00 /hour,Customer Support/Client Care
Sr. SAP Procurement Analyst Job in Dallas,"Dallas, TX","$120,000.00+ /year",IT/Software Development
Jr. Field Manager Job in Denver,"Denver, CO 80238",13.00 - 15.00 $ /year,Building Construction/Skilled Trades
Shuttle Driver - Class A CDL Job in Aurora,"Aurora, CO 80010","$1,100.00+ /week",Experienced (Non-Manager)
PC and Mac Field Technicians Job in Akron,"Akron, OH 44310",25.00 - 35.00 $ /hour,IT/Software Development
Software Systems Engineer Job in Dallas,"Dallas, TX",100.00 - 120.00 $ /hour,IT/Software Development
PC and Mac Field Technicians Job in Keswick,"Keswick, CA 96001",30.00 - 35.00 $ /hour,IT/Software Development
AS/ RPG ILE Programmer Analyst Job in Knoxville,"Knoxville, TN","72,000.00 - 75,000.00 $ /year",IT/Software Development
Lead Support Specialist - Office  Job in Saint Louis,"Saint Louis, MO",Employee Health/Dental Benefits; 401k Employer Match,Experienced (Non-Manager)
Project Coordinators Job in Tampa,"Tampa, FL 33601",22.00+ /hour,IT/Software Development
Field Deployment Technician Job in Sioux City,"Sioux City, IA 51106",20.00 - 20.00 $ /hour,Experienced (Non-Manager)
Director - IT Leader of Product Development Job in Bridgewater,"Bridgewater, NJ","170,000.00 - 200,000.00 $ /year",IT/Software Development
Data Analyst Job in Irving,"Irving, TX",0.00 - 20.00 $ /hour,IT/Software Development
Senior .Net Developer Job in Knoxville,"Knoxville, TN","75,000.00 - 85,000.00 $ /year",IT/Software Development
Infrastructure Architect Job in Irving,"Irving, TX",75.00 - 100.00 $ /hour,IT/Software Development
PC and Mac Field Technicians Job in Memphis,"Memphis, TN 38105",25.00 - 35.00 $ /hour,IT/Software Development
PC and Mac Field Technicians Job in Columbia,"Columbia, SC 29208",25.00 - 35.00 $ /hour,IT/Software Development
Java Solution Architect Job in Dallas,"Dallas, TX",55.00 - 75.00 $ /hour,IT/Software Development
Sr. Vice President of IT Job in Onalaska,"Onalaska, WI 54650","150,000.00 - 160,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
System Security Analyst Job in Charleston,"Charleston, SC","$50,000.00+ /year",IT/Software Development
Senior Software Engineer Job in San Antonio,"San Antonio, TX 78249","100,000.00 - 120,000.00 $ /year",Experienced (Non-Manager)
Adobe UI developer - Photo editor Job in San Francisco Ca,Adobe UI developer - Photo editor,70.00 - 80.00 $ /hour,IT/Software Development
PC and Mac Field Technicians Job in Green Bay,"Green Bay, WI 54311",25.00 - 35.00 $ /hour,IT/Software Development
Statistician/Bayesian,"Bridgewater, NJ 08807","80,000.00 - 220,000.00 $ /year",Biotech/R&D/Science
Quality Control Scientist Job in East Durham,"East Durham, NC 27703",26.00 - 32.00 $ /hour,Biotech/R&D/Science
Receptionist/BDC Representative Job in Brandon,"Brandon, FL 33509",10.00 - 12.00 $ /hour,Sales/Retail/Business Development
Lean Manager Job in Buffalo Grove,"Buffalo Grove, IL","Â 75,000.00 - 105,000.00 $ /year",Quality Assurance/Safety
Quality Engineer Job in Chicago,"Chicago, IL","Â 70,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
Chemical Technician Job in San Diego,"San Diego, CA 92126",19.00 - 19.00 $ /hour,Experienced (Non-Manager)
Quality Assurance Manager Job in Chicago,"Chicago, IL","Â 95,000.00 - 105,000.00 $ /year",Quality Assurance/Safety
Quality Technician-Electromechanical Testing Job in Largo,Quality Technician-Electromechanical Testing,12.00 - 14.00 $ /hour,Quality Assurance/Safety
Sorftware Engineer .NET Job in Louisville,"Louisville, KY 40223","80,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
Research Associate Scientific-Chemistry (Testing-HPLC,"Research Associate Scientific-Chemistry (Testing-HPLC, pH)",20.00 - 26.00 $ /hour,Biotech/R&D/Science
Director of Quality Assurance Job in Augusta,"Augusta, GA 30901","120,000.00 - 140,000.00 $ /year","Executive (SVP, VP, Department Head, etc)"
QA Engineer (temp to perm) Job in Shirley  body { margin:px; overflow: visible !important; } #ejb_header { color: #; font-family: Verdana,"We serve a wide spectrum of markets from radiology to rehabilitation equipment such as treadmills, elliptical cross-trainers to diagnostic tables, stretchers, and accessories for medical imaging. Our commitment to excellence is based on product design, quality and after-sales support which has created consistent demand for our products and tremendous success for our Company.We currently have an excellent opportunity for a QA Engineer to join our team. The QA Engineer is responsible for managing day-to- day activities regarding quality issues arising from supplier non-conforming materials, internally fabricated parts and assemblies, and customer complaints.Responsibilities Perform quality engineering activities to ensure a high level of process and product quality. Collect and analyze customer complaints to assess trending quality issues, propose and participate in the implementation of corrective action. Analyze quality problems and discrepant material to identify root causes to propose corrective action. Manage day to day activities regarding quality issues arising from supplier non-conforming materials, internally fabricated parts and assemblies. Work with members of the supply chain to ensure the quality of raw materials, components or sub-assemblies meets the company's quality standards. Work with Manufacturing Engineering and Design Engineering in the development of quality assurance methodologies for new and existing products and processes. Application of advanced quality tools such as process capability studies, gauge repeatability, design of experiments, statistical analysis to foster continuous process improvement. Develop and initiate procedures and methods for inspection, testing and evaluation. Devise sampling methods and instructions for recording, evaluating and reporting of product quality and reliability data. Assist in performing internal and supplier audits.Â Â Â Requirements Bachelor's degree in a technical discipline with 3 to 5 years of relevant experience in a GMP manufacturing and / or ISO certified (9001 or 13485) quality management system is required. Experience reading, analyzing and interpreting engineering drawings as well as conducting product defect investigations, root cause analysis and corrective action proposals are also required. Proficiency in MS Office, specifically Excel, is required along with effective communication skills to interface with suppliers, customers and internal groups. Training and experience working with statistical quality control tools (SPC) and metrics are necessary as are well developed analytical and problem solving skills. Familiarity with ERP systems, manufacturing processes, and calibration equipment is preferred. Quality Engineer or Internal Auditor certification is a plus.Title: Quality Assurance EngineerLocation: Shirley, NYType: Temp to permÂ ",30.00 - 33.00 $ /hour,Quality Assurance/Safety
Quality Engineer Job in Monroe,"Monroe, WI","Â 75,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
Public Safety Dispatcher Job in Davenport,"Davenport, IA 52801",19.92 - 19.92 $ /hour,Entry Level
Quality Environmental Health and Safety Engineer Job in Wichita Falls,"Wichita Falls, TX 76309","55,000.00 - 60,000.00 $ /year",Quality Assurance/Safety
Safety Manager Job in Sikeston,"Sikeston, MO","Â 75,000.00 - 80,000.00 $ /year",Quality Assurance/Safety
QA Tester Job in Glendale,"Glendale, OH 45246","45,000.00 - 55,000.00 $ /year",Quality Assurance/Safety
Quality Manager Job in Lexington,"Lexington, KY","80,000.00 - 85,000.00 $ /year",Quality Assurance/Safety
EHS Manager - DOT Expert Job in Temple,"Temple, TX","75,000.00 - 85,000.00 $ /year",Quality Assurance/Safety
Three Six Sigma Black Belts AND a MBB â€“ Transactional - See Video Job in Baltimore,"4060BER Three Six Sigma Black Belts AND a MBB â€“ Transactional Location: Baltimore, MD Salary: $100,000 to $130,000CLICK HERE TO WATCH THE VIDEO Our client is looking to add THREE BLACK BELTS AND ONE MASTER BLABK BELT to their team in the Baltimore, MD area. As a Six Sigma Blackbelt you will use a variety of skills to identify, analyze and implement opportunities for process improvement within the finance, operations, commercial operations, and information technology areas of the company. YOU WILL BE RESPONSIBLE TO: *Lead identified improvement efforts through all stages of the six sigma process (DMAIC, Lean, DMADV etc) *Provide leadership, guidance & coaching to people involved in the projects *Word directly with clients to develop solutions and resolve client specific issues. *Document via flowcharting existing processes and identify fail points and develop solutions *Conduct data analysis to determine root causes of service performance failure *Research, identify, and conceptualize process and system improvements *Develop improvement timelines, milestones and resource needs *Calculate and manage process improvement implantation, escalations, cost, scope, validation & sustainabilityTHE RIGHT CANDIDATE WILL HAVE: *Masterâ€™s Degree in business or a related field *Certified Lean Six Sigma Black Belt and proven experience *Experience with Minitab statistical software *Ability to understand business processes and systems impact *Ability to interact and develop working relationships with all levels and areas of the organization Interviews are being done quickly and are happening now! Donâ€™t hesitateâ€¦.send me your resume today and letâ€™s get started! KEYWORDS: six sigma, 6 sigma, 6sigma, lean, operational excellence, continuous improvement, process improvement, BB, MBB, BLACK BELT, BLACKBELT, MASTER BLACKBELT, MASTER BLACK BELT, TECHNOLOGY, IT, INFORMATION TECHNOLOGY, ACCOUNTING, OPERATIONS, FINANCE, FINANCIALSubmit your information to Bill Ritchie for consideration at bercontact1@gmail.com or Click here, ONLINE APPLICATION to apply for this job.â€œAs a Lean Transformation / Lean Manufacturing Recruiter at Management Recruiters-Indianapolis-North I have helped place many operations and deployment candidates into critical Lean Transformation / Lean Manufacturing jobs.â€Visit us at www.mrindianapolis.com for more information to help you in your job search.Desk Identifiers: mri indy-north ber.mr.industry","100,000.00 - 130,000.00 $ /year",Quality Assurance/Safety
Grocer Merchandise Consultant (Bakery,"Birmingham, AL","65,000.00 - 65,000.00 $ /year",General/Other: Food Services
General Manager Job in Gastonia,"Gastonia, NC","50,000.00 - 65,000.00 $ /year",Food Services/Hospitality
Registered Nurse (RN) Opportunity! Job in Altoona,"Altoona, PA 16602",26.00 - 32.00 $ /hour,Medical/Health
Linux Administrator Job in Atlanta,"Atlanta, GA","75,000.00 - 75,000.00 $ /year",Experienced (Non-Manager)
Project Manager Job in Atlanta,"Atlanta, GA",45.00 - 55.00 /year,IT/Software Development
Canadian Payroll Processor Job in Dallas,"Dallas, TX 75201",24.00 - 24.00 $ /hour,Human Resources
Sr. Sales Recruiter Job in Sandy Springs,Sr. Sales Recruiter,30.00 - 35.00 $ /hour,Human Resources
DevOps Engineer Job in Atlanta,"Atlanta, GA","100,000.00 - 120,000.00 /year",IT/Software Development
Real Estate Manager Job in Atlanta,"Atlanta, GA","50,000.00 - 60,000.00 $ /year",Sales/Retail/Business Development
Lead Security Engineer - Applications Security Job in West Lake Hills,"West Lake Hills, TX","175,000.00 - 175,000.00 $ /year",IT/Software Development
Claims Supervisor - Property Damage Job in Atlanta,"Atlanta, GA 30339","60,000.00 - 70,000.00 $ /year",Accounting/Finance/Insurance
Senior Java Engineer Job in Atlanta,"Atlanta, GA","80,000.00 - 125,000.00 /year",IT/Software Development
Restaurant Manager Job in Atlanta,"Atlanta, GA","55,000.00 - 75,000.00 $ /year",Food Services/Hospitality
warehouse associate/shipping-receiving/Record center specialist Job in Norcross,"Norcross, GA 30071","20,000.00 - 21,000.00 $ /year",Manufacturing/Production/Operations
Senior Project Manager - Commercial Construction Job in Austin,"Austin, TX","90,000.00 - 110,000.00 $ /year",Project/Program Management
Entry Level Sales Manager Job in Austin,"Entry Level Sales ManagerAre you ready to begin your last career?Training:In the classroom, and in the field, our most accomplished sales professionals will teach you their most time-tested formulas that directly lead to their successes. Cross-selling, referral networking, and benefit package sales are some examples of the professional mentoring you will receive.Requirements:Excellent Communication SkillsCommitment to Excellence with a Winning AttitudeCoachable and Accountable Team PlayerHigh Personal Integrity and CharacterWork Ethic, Self-Motivation, and a Desire to SucceedA Passion for Helping Other People EverydayMaking a DifferenceUSHA advisors are making a real difference in peopleâ€™s lives. Our trusted advisors planning can impact, and protect, families for generations. We pride ourselves on being a unified company who share our values of commitment and dedication with our customers. As a result of current economic conditions, our clients are looking for viable alternatives to their current benefit programs and the demand for our products and services has never been greater!Benefits:Industry Leading Compensation and Rewards ProgramsExceptional Product Portfolio (Numerous Product Lines)Weekly Direct DepositPerformance Bonuses (up to 16 Bonuses Annually)1st year income potential $100,000+ (Sr Leaders $200,000+)Stock Sharing ProgramsResidual IncomeProfessional Coaching and MentorshipCompany Generated LeadsNational Sales Awards Trips (Exotic Locations)Career Advancements Based on MeritEntry Level Sales Manager position is also relevant to job seekers with various work backgrounds such as; Sales, Marketing, Military, Finance, Business, Real Estate, Executives, Banking, Leasing, Financial Services, Managers, Customer Service, Retail Sales, Education, Business Graduates, Regional and Territory Sales.","65,000.00 - 131,000.00 $ /year",Sales/Retail/Business Development
Outside Sales Representative (Trainee) Job in Atlanta,"Atlanta, GA","$40,000.00+ /year",Sales/Retail/Business Development
VP of Engineering Job in Atlanta,"Atlanta, GA","125,000.00 - 175,000.00 /year",IT/Software Development
Customer Service Representative Job in Travis Heights,"Travis Heights, TX 78704",13.50 - 14.00 $ /hour,Customer Support/Client Care
Summer Marketing Internship Job in Columbus,"Columbus, OH",0.00 - 15.00 $ /hour,Marketing/Product
Program Coordinator Job in San Francisco,"San Francisco, CA 94103",70.00 - 85.00 $ /hour,Experienced (Non-Manager)
Marketing Manager / Sales Job in Greeneville,"Greeneville, TN 37743","85,000.00 - 125,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Corporate Pricing Manager/Business Analytics Job in Sylmar,"Sylmar, CA 91342","70,000.00 - 90,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Market Research Manager Job in Crafton,"Crafton, PA 15205","50,000.00 - 60,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Translation / Localization Project Manager Job in Bellevue,"Bellevue, WA 98004",Salary negotiable based on experience,Manager (Manager/Supervisor of Staff)
Junior Analyst/Assistant Project Manager Job in Crafton,"Crafton, PA 15205","35,000.00 - 40,000.00 $ /year",Entry Level
Product Marketing Manager Job in City Of Industry,"City Of Industry, CA 91744","$50,000.00+ /yearbase salary plus bonus",Manager (Manager/Supervisor of Staff)
Director,"Prospect Park, PA 19076",*Excellent compensation and benefits package!*,Experienced (Non-Manager)
